[I 250623 14:08:46 websocket:47] WebSocket opened
[I 250623 14:22:26 websocket:49] WebSocket opened
[I 250623 14:22:42 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13312604, 'exchange_timestamp': 1750668762000, 'last_traded_price': 5608450, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:43 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13312863, 'exchange_timestamp': 1750668762000, 'last_traded_price': 5608355, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:43 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13313323, 'exchange_timestamp': 1750668763000, 'last_traded_price': 5608040, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:44 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13313542, 'exchange_timestamp': 1750668763000, 'last_traded_price': 5608015, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:44 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13313999, 'exchange_timestamp': 1750668764000, 'last_traded_price': 5607760, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:45 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13314218, 'exchange_timestamp': 1750668764000, 'last_traded_price': 5608065, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:45 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13314568, 'exchange_timestamp': 1750668765000, 'last_traded_price': 5607915, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:46 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13314787, 'exchange_timestamp': 1750668765000, 'last_traded_price': 5607670, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:46 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13315246, 'exchange_timestamp': 1750668766000, 'last_traded_price': 5607670, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:47 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13315465, 'exchange_timestamp': 1750668766000, 'last_traded_price': 5607565, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:47 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13315923, 'exchange_timestamp': 1750668767000, 'last_traded_price': 5608000, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:48 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13316228, 'exchange_timestamp': 1750668767000, 'last_traded_price': 5608060, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:04 websocket:49] WebSocket opened
[I 250623 14:33:04 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13742504, 'exchange_timestamp': 1750669384000, 'last_traded_price': 5606800, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:05 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13742735, 'exchange_timestamp': 1750669384000, 'last_traded_price': 5607565, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:05 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13743156, 'exchange_timestamp': 1750669385000, 'last_traded_price': 5607050, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:06 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13743385, 'exchange_timestamp': 1750669385000, 'last_traded_price': 5607355, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:06 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13743863, 'exchange_timestamp': 1750669386000, 'last_traded_price': 5607265, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:07 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13744173, 'exchange_timestamp': 1750669386000, 'last_traded_price': 5606440, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:07 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13744650, 'exchange_timestamp': 1750669387000, 'last_traded_price': 5609040, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:08 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13744879, 'exchange_timestamp': 1750669387000, 'last_traded_price': 5608760, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:08 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13745286, 'exchange_timestamp': 1750669388000, 'last_traded_price': 5607520, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:09 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13745517, 'exchange_timestamp': 1750669388000, 'last_traded_price': 5607905, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:09 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13745991, 'exchange_timestamp': 1750669389000, 'last_traded_price': 5607685, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:10 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13746219, 'exchange_timestamp': 1750669389000, 'last_traded_price': 5607795, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:10 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13746675, 'exchange_timestamp': 1750669390000, 'last_traded_price': 5607200, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:11 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13746901, 'exchange_timestamp': 1750669390000, 'last_traded_price': 5607670, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:11 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13747292, 'exchange_timestamp': 1750669391000, 'last_traded_price': 5607480, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:12 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13747600, 'exchange_timestamp': 1750669391000, 'last_traded_price': 5607055, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:12 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13748056, 'exchange_timestamp': 1750669392000, 'last_traded_price': 5607810, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:13 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13748285, 'exchange_timestamp': 1750669392000, 'last_traded_price': 5607805, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:13 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13748744, 'exchange_timestamp': 1750669393000, 'last_traded_price': 5607210, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:14 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13748978, 'exchange_timestamp': 1750669393000, 'last_traded_price': 5607095, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:14 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13749411, 'exchange_timestamp': 1750669394000, 'last_traded_price': 5606310, 'subscription_mode_val': 'LTP'}
